State,County,Income
Indiana,Howard,"47,388"
Indiana,Huntington,"50,249"
Indiana,Jackson,"48,308"
Indiana,Jasper,"56,179"
Indiana,Jay,"48,826"
Indiana,Jefferson,"50,327"
Indiana,Jennings,"48,764"
Indiana,Johnson,"57,081"
Indiana,Knox,"53,820"
Indiana,Kosciusko,"56,544"
Indiana,Lagrange,"52,797"
Indiana,Lake,"52,471"
Indiana,LaPorte,"49,144"
Indiana,Lawrence,"51,546"
Indiana,Madison,"46,081"
Indiana,Marion,"66,315"
Indiana,Marshall,"51,486"
Indiana,Martin,"49,831"
Indiana,Miami,"40,779"
Indiana,Monroe,"52,696"
Indiana,Montgomery,"49,291"
Indiana,Morgan,"52,275"
Indiana,Newton,"51,110"
Indiana,Noble,"48,780"
Indiana,Ohio,"53,339"
Indiana,Orange,"44,026"
Indiana,Owen,"48,734"
Indiana,Parke,"48,238"
Indiana,Perry,"43,645"
Indiana,Pike,"47,191"
Indiana,Porter,"61,224"
Indiana,Posey,"58,380"
Indiana,Pulaski,"54,017"
Indiana,Putnam,"46,501"
Indiana,Randolph,"50,836"
Indiana,Ripley,"50,708"
Indiana,Rush,"54,845"
Indiana,St. Joseph,"55,326"
Indiana,Scott,"44,254"
Indiana,Shelby,"51,575"
Indiana,Spencer,"53,725"
Indiana,Starke,"41,917"
Indiana,Steuben,"53,605"
Indiana,Sullivan,"43,276"
Indiana,Switzerland,"41,531"
Indiana,Tippecanoe,"46,246"
Indiana,Tipton,"51,621"
Indiana,Union,"48,718"
Indiana,Vanderburgh,"55,389"
Indiana,Vermillion,"45,860"
Indiana,Vigo,"45,793"
Indiana,Wabash,"51,720"
Indiana,Warren,"52,936"
Indiana,Warrick,"66,353"
Indiana,Washington,"47,813"
Indiana,Wayne,"49,075"
Indiana,Wells,"50,851"
Indiana,White,"52,011"
Indiana,Whitley,"53,858"
Indiana,,
Indiana,Iowa,"58,049"
Indiana,Adair,"64,783"
Indiana,Adams,"64,345"
Indiana,Allamakee,"53,536"
Indiana,Appanoose,"47,001"
Indiana,Audubon,"64,561"
Indiana,Benton,"63,400"
Indiana,Black Hawk,"52,431"
Indiana,Boone,"53,520"
Indiana,Bremer,"57,634"
Indiana,Buchanan,"57,628"
